Nom de la gare;Code UIC;Total Voyageurs + Non voyageurs 2022;Total Voyageurs + Non voyageurs 2021;Total Voyageurs + Non voyageurs 2020;Total Voyageurs + Non voyageurs 2019
Nîmes;775007;7193832;5626731;3948663;5976568
Nogent-sur-Seine;118190;250579;190394;154928;236647
Nogent-sur-Vernisson;684274;67132;51534;33275;48845
Nointel - Mours;276758;377139;351212;207757;430630
Nomain;286609;1614;515;1100;4336
Nonancourt;393553;11034;6321;5516;10375
Obernai;214288;796161;583441;493365;691394
Oermingen;215632;36302;31151;22606;25491
Ondres;673319;15546;14529;11897;15794
Orange;765107;486389;413124;272784;487935
Orgon;753707;22401;18996;12057;14277
Orly Ville;546200;1488640;1227173;912297;1802642
Orry-la-Ville - Coye;276279;2147555;1764948;1447144;2386199
Oudon;481184;136211;91926;73232;132258
Ourscamps;276774;3376;3109;2220;3655
Pagny-sur-Moselle;192468;379485;295494;265702;372596
Parc des Expositions;271486;2304239;1530324;1010255;2790979
Paris Bercy Bourgogne - Pays d'Auvergne;686667;4945344;3474224;2587708;4482042
Paris Est;113001;46423121;35041906;27242868;52060520
Paris Gare de Lyon;686006;129335965;105005290;67873723;140121852
Pavilly;411272;214162;181265;163127;227063
Penne-d'Agenais;586438;15396;9780;10037;17528
Penthièvre;476424;2979;1886;833;1097
Périgueux;595009;1126198;884310;664600;974716
Périgueux Saint-Georges;595504;2123;321;471;206
Pérols-sur-Vézère;592170;598;482;322;171
Pers;645176;655;504;207;121
Persan - Beaumont;276469;3807121;3586931;1989555;4112008
Peyrehorade;672337;28211;20981;12908;19160
Pezou;574541;2386;1961;1136;1788
Pignans;755389;39579;31792;17198;23944
Plouharnel - Carnac;476416;8496;7653;4877;5478
Poix-Terron;172171;100007;93089;87037;89351
Pont d'Ardres;281410;5129;4204;3152;5059
Pont de Bois;286831;41946;26275;20486;32391
Pontchâteau;481846;240737;179445;131994;253589
Pont-Remy;313130;15979;15682;11473;16813
Pontrieux;473843;6641;4109;3797;5501
Pont-Sainte-Maxence;276329;1061970;889050;744300;1056853
Porta;611491;22;0;1;6
Portet Saint-Simon;611400;397394;347849;283928;366445
Pouilly-sur-Loire;696179;12471;6954;8191;10479
Pouxeux;144428;21986;14666;10604;13399
Provenchères-sur-Fave;144345;3317;599;424;454
Pulligny - Autrey;141564;0;268;452;952
Puybrun;594754;1688;1060;715;1084
Raismes;343319;28550;30946;30960;47322
Rang-du-Fliers - Verton - Berck;317057;394544;300850;221315;345958
Ranguin;757732;81312;73148;48598;76307
Raves - Ban-de-Laveline;144105;648;28;682;1376
Réding;215079;65176;51178;44147;59618
Redon;471300;1189480;836574;568232;925278
Régny;721050;47448;39648;32098;36415
Reims Maison Blanche;171272;112140;88630;56436;74693
Rémelfing;193623;3219;2417;3118;4828
Remise à Jorelle;988709;623710;499768;1045054;485311
Rethel;172270;446962;351441;282559;407434
Revigny-sur-Ornain;175018;100092;97253;90024;89991
Rocamadour - Padirac;613042;9208;7404;5917;6702
Rochefort;485144;743611;542985;377559;616460
Rochy-Condé;313601;6234;3828;3031;4026
Rolleville;413740;329;204;162;1279
Romans - Bourg-de-Péage;761650;531782;427050;309871;511182
Romilly-la-Puthenaye;387175;8685;7747;7101;9401
Rosa Parks;654798;11987483;5937856;2865667;9038087
Roumazières-Loubert;583468;3;0;360;2372
Royat - Chamalières;734038;3741;2179;1809;3335
Rozières-sur-Mouzon;144311;15;31;6;11
Ruffey-lès-Echirey;713826;18585;14595;13979;11368
Rumilly;746149;822809;617544;502974;772728
Saales;214783;54627;36880;30105;38779
Saillagouse;784835;3754;3157;2307;1934
Saillans;761817;14221;10657;11778;13514
Saint-Amour;718296;72746;47362;33285;51071
Saint-Antoine;751826;44049;34967;17971;33063
Saint-Aubin-sur-Scie;415125;12469;8532;7474;11437
Saint-Aunès;773465;7074;4513;2966;3044
Saint-Avold;193318;307613;231840;188041;313591
Saint-Chamas;753202;83403;65940;51759;75620
Saint-Chély-d'Apcher;783241;70962;57364;51956;44600
Saint-Clément - Laronxe;141374;27549;23411;19686;27866
Sainte-Anne;476648;26342;18292;12677;16121
Sainte-Bazeille;586479;2010;1045;668;657
Sainte-Geneviève-des-Bois;545210;3315717;2657248;1757976;4014188
Sainte-Lizaigne;597054;2303;982;884;1635
Saint-Étienne La Terrasse;726158;139724;111712;89318;134471
Saint-Florent-sur-Cher;576272;10766;8893;8315;13388
Saint-Gaudens;611137;353001;256644;195363;249104
Saint-Genouph;571851;282;278;155;708
Saint-Germain-du-Puy;576405;7210;4056;2890;6063
Saint-Gratien;276170;2195928;1718129;1243189;2658478
Saint-Jean-d'Angély;491357;39126;33939;27563;39979
Saint-Jean-Pied-de-Port;673723;56521;38684;25802;62202
Saint-Julien - Clénay;713834;43444;33306;34658;29002
Saint-Julien-en-Genevois;745430;273908;213424;130307;224001
Saint-Junien;592709;39054;26521;16844;22353
Saint-Laurent-du-Var;756346;1033820;847054;647740;1073273
Saint-Louis;182139;1346891;1008289;899608;1414403
Saint-Louis La Chaussée;181016;57948;52379;40765;64290
Saint-Maixent-L'École;485490;239565;188603;150545;221933
Saint-Mariens - Saint-Yzan;491209;247382;176389;132931;191730
Saint-Mars-la-Brière;396283;4360;2419;2026;9515
Saint-Martin-Bellevue;746222;0;0;0;0
Saint-Martin-de-Crau;753681;129041;106399;76304;113591
Saint-Martin-du-Mont;743112;6550;5748;4761;4774
Saint-Martin-du-Vivier;411413;137;0;0;3691
Saint-Martin-le-Beau;574459;67493;47249;35384;45160
Saint-Michel - Valloire;742361;99098;69536;75613;99274
Saint-Ouen-l'Aumône Liesse;337980;1906849;1776846;1028954;1996206
Saint-Paterne-Racan;571554;23542;17235;12765;14497
Saint-Péray;761494;2941;522;1051;1797
Saint-Pierre-d'Albigny;741223;177049;133745;100078;153338
Saint-Pierre-de-Chignac;595520;3035;1656;117;68
Saint-Pierre-du-Vauvray;415646;0;0;0;2061
Saint-Pierre-en-Faucigny;746313;111254;82851;64995;75269
Saint-Pierre-Quiberon;476440;9725;9540;6915;7364
Saint-Pol-de-Léon;474569;1595;1066;1173;4775
Saint-Priest-Taurion;592055;21972;19043;20763;18933
Saint-Rambert-en-Bugey;743740;13870;12716;9492;13428
Saint-Savinien;491035;19148;14360;10866;22904
Saint-Symphorien-de-Marmagne;694174;44;276;456;292
Saint-Thégonnec;474312;250;126;80;591
Sallanches - Combloux - Megève;746438;393743;328041;290535;381617
Salses-le-Château;784157;39917;27822;15374;17568
Sarre-Union;215459;192846;163061;151454;122093
Sartrouville;386417;10048491;8073117;5493207;11625842
Saubusse;673251;10588;7768;6167;6923
Saujon;491811;58017;41592;29426;52649
Sauto;784777;199;142;107;79
Sedan;172254;448598;326893;260553;352088
Sées;444695;76533;59540;41849;77199
Selles-Saint-Denis;576140;27642;19968;18899;19628
Senozan;725671;10385;8288;6159;7769
Sessenheim;212365;89110;69387;58277;84660
Seurre;713677;67314;49824;50275;59970
Sévérac-d'Aveyron;783365;11788;14149;12150;16054
Seyssel - Corbonod;745828;77257;51029;37709;65164
Soissons;271817;726943;606119;503841;728427
Solignac - Le Vigen;592246;4249;1466;1044;1752
Sommery;411462;5838;3565;2099;2678
Sorgues - Châteauneuf-du-Pape;765206;209772;165942;109909;194765
Sospel;756825;45712;24291;28644;57160
Sous le Bois;295543;8;7;12;342
Steenbecque;342295;596;401;260;209
Steenwerck;286161;50022;42800;35755;48554
St-Eulien;175216;15;37;3;13
Strasbourg;212027;25231725;19209527;15352878;25253140
Tacoignières - Richebourg;393454;162807;159766;93659;195739
Tarare;721472;692626;553002;436058;672938
Tende;756882;22780;9070;11920;22922
Theillay;543199;21728;16028;10604;13704
Thenon;595579;20318;14104;9160;14887
Thézy-Glimont;316125;14634;12819;10762;14525
Thiennes;342287;712;1449;1797;2785
Thomery;682252;167462;248679;106635;202646
Thouaré-sur-Loire;481143;46006;28176;21021;34328
Thouars;487009;28968;21994;16233;25252
Thuès Carença;784751;3743;3196;1984;2100
Tiercé;484147;119626;84722;67589;153434
Tincques;342303;7677;7292;13028;15853
Tonnay-Charente;485151;28272;19631;12983;15321
Torfou-Sèvremoine;486894;43234;22724;11924;12669
Tourcoing;286542;761447;667888;531921;763393
Tournemire - Roquefort;783456;1100;714;343;937
Tracy - Sancerre;696161;15200;11141;7910;11580
Trégonneau - Squiffiec;473819;1667;747;559;813
Trois-Puits;171264;0;0;1;283
Troyes;118000;1582939;1202438;949971;1419897
Uchaud;775106;3180;4858;2249;1696
Ur - Les Escaldes;784884;122;106;126;48
Val-de-Reuil;415877;690167;510053;416228;692089
Valençay;576215;39051;25675;15310;17372
Valence;761007;3651674;2743721;2092159;3298266
Valence d'Agen;611863;87101;63793;49269;60291
Varennes-sur-Fouzon;576231;5070;4174;4499;3934
Varetz;594606;1862;1714;1394;2217
Vauboyen;393538;194880;257072;144422;236149
Vauzelles;691469;366;681;1452;1150
Velars-sur-Ouche;712331;4373;1888;2933;4698
Vendenheim;212118;150794;122508;99568;154976
Vendôme - Villiers-sur-Loir TGV;571216;581294;421928;352993;541542
Venerque - Vernet;611392;243177;195004;163228;217771
Vergèze - Codognan;775114;502302;394562;255064;304936
Vern-sur-Seiche;471029;10521;7695;6368;6696
Versailles Chantiers;393009;18934500;15922909;12376593;22909416
Vertaizon;734426;199348;154625;143863;186155
Vervins;296129;68497;48176;40255;39575
Veuves - Monteaux;574327;4877;7487;5049;2559
Veynes Dévoluy;763300;73563;64411;39723;77042
Vic-sur-Cère;645440;8812;10643;6865;9244
Vielmur-sur-Agout;615492;24947;19473;16881;21524
Vigeois;594218;7772;7152;6736;7963
Vigneux-sur-Seine;681304;5334560;4745315;3080249;6458442
Vignory;142232;2471;3397;3497;4056
Villefranche-sur-Cher;576884;24293;23779;21318;27715
Villefranque;673616;1164;771;360;14
Villeneuve-lès-Maguelone;773515;48978;31176;13808;12476
Villeneuve-sur-Allier;696310;548;689;620;874
Villennes-sur-Seine;386649;975080;781301;285276;541158
Villers-Bretonneux;313437;243523;205482;171763;211195
Villers-Saint-Paul;276378;80039;68217;53101;74251
Villiers-en-Lieu;175208;509;490;419;681
Villiers-le-Bel - Gonesse - Arnouville;276220;9912578;7945658;3904492;12001779
Vincey;144063;55978;29570;16652;17932
Viry-Noureuil;297051;354;427;195;280
Vittel;144279;75092;56699;42037;53800
Vivonne;575290;38183;30717;24729;34012
Voivres-lès-le-Mans;396358;13557;9794;8191;22708
Voreppe;747337;463048;360013;285715;410399
Voves;545707;48557;29780;26418;42483
Wacquemoulin;316208;1482;1302;1681;3380
Walheim;181065;5556;3868;3444;6940
Wattignies - Templemars;286526;53660;43030;36998;69841
Wesserling;182618;46314;37173;30909;43828
Weyersheim;213678;220749;188851;163043;205703
Wingen-sur-Moder;213744;177659;147471;113613;152314
Wisches;214676;123477;106996;99110;111064
Wittelsheim;182683;0;0;0;351
Woincourt;317511;674;846;1106;4995
Xeuilley;141549;0;0;270;1154
Ytrac;645101;139;37;17;49
Yvetot;413385;1298937;984491;859465;1246459
