Nom de la gare;Code UIC;Total Voyageurs + Non voyageurs 2022;Total Voyageurs + Non voyageurs 2021;Total Voyageurs + Non voyageurs 2020;Total Voyageurs + Non voyageurs 2019
Villefranche - Vernet-les-Bains;784686;333516;288598;181304;172788
Villefranche-sur-Mer;756361;629918;364521;302865;672171
Villeneuve-la-Comtesse;491258;867;1188;1196;2159
Villenouvelle;618215;26687;17598;13848;17338
Villers-Cotterêts;271734;497439;401953;316350;463625
Villers-Saint-Sépulcre;313593;8112;5743;5033;8094
Villetaneuse Université T11;697318;3902317;3126857;675432;1840999
Villiers - Neauphle - Pontchartrain;393884;754106;599810;314358;915771
Villiers-sur-Marne - Le Plessis-Trévise;113795;7700718;5653263;3664906;8146119
Vions - Chanaz;741108;17568;10125;8868;10396
Vireux-Molhain;172114;64839;54152;45468;49956
Virieu-le-Grand - Belley;741504;59947;45377;29627;44111
Virville - Manneville;413336;0;0;0;48
Vis à Marles;342535;17063;11616;8560;35853
Vitry-le-François;174276;222969;165124;126970;228665
Vitry-sur-Seine;545293;3770683;2037788;1535384;4565282
Voutré;478560;2437;1968;1295;5002
Vulaines-sur-Seine - Samoreau;682443;43479;93951;33356;52885
Woippy;192088;192865;121574;99323;174202
Xertigny;144121;3304;916;871;1185
Ychoux;582536;228240;167388;119902;177771
Yerres;682112;3738278;3059573;2173871;4525768
Zornhoff Monswiller;212217;0;0;0;0
Agay;757559;32800;25094;15390;22284
Agde;781278;861503;701450;492975;677860
Albens;746115;126604;90061;67880;106006
Albi Madeleine;615195;80495;57591;37520;51855
Ambérieu-en-Bugey;743716;1533942;1199406;963595;1442437
Ambronay - Priay;743146;8271;6321;5665;9145
Anchamps;172858;7550;5985;5694;7376
Annappes;286856;1458;1388;882;1638
Anse;721324;585260;429936;355418;555189
Anthéor Cap Roux;757567;11494;8814;5313;6677
Apach;191643;1512;294;369;907
Appilly;296459;8655;6565;5965;7990
Arenc Euroméditerranée;580340;68184;47457;35506;56897
Argelès-sur-Mer;784231;205840;155365;108200;147155
Argentan;444539;486424;320627;219503;368363
Asnières-sur-Seine;381137;17579037;15175351;8693940;16996318
Assat;672162;475;586;559;273
Aubagne;751750;1395217;1126046;845743;1277655
Auchy-lès-Hesdin;317230;15943;7418;589;1133
Audrieu;444059;20670;14265;10779;15635
Auffay;415158;285318;230223;199471;268491
Aulnoye-Aymeries;295600;808847;639292;563985;776408
Aumont-Aubrac;783266;8490;6535;5641;8036
Auneau;545657;26607;21915;16876;30190
Avallon;683789;54702;37849;30046;45473
Bailleau-le-Pin;394411;128173;95047;67661;79178
Bailly T13;710780;0;0;0;0
Baisieux;286872;51083;35458;33237;57067
Banassac - La Canourgue;783324;8102;3286;2556;3164
Banyuls-sur-Mer;784298;95022;77197;50479;74781
Barjac;783563;54;55;109;76
Barr;214247;427435;324581;268076;378456
Basse-Ham;191601;562;18;14;646
Baume-les-Dames;718460;280962;221292;193902;230033
Bauvin - Provin;345280;136749;101838;133130;232472
Beaugency;574160;571337;412738;308362;463248
Beauvais;313510;1947999;1478235;1176522;1580472
Bécon les Bruyères;382002;10762906;8732029;4409499;10269355
Bedous;672774;16568;16543;12252;16872
Bègles;581801;38020;33584;24877;34296
Belleville sur Sâone;721357;1061840;772213;628112;985368
Bellignat;743526;4219;3683;3355;5373
Belloy - Saint-Martin;276550;176362;160085;70829;182798
Belvès;595876;2759;2896;3663;7409
Bergerac;584268;446173;348562;249033;231789
Berlaimont;295808;7363;7392;8730;19722
Berre;753228;0;0;0;0
Bertrichamps;141424;3487;3561;3434;3894
Bertry;345553;3350;2338;4525;8199
Besançon Viotte;718007;2875008;2099019;1744777;2368816
Bessancourt;276642;796219;693514;340303;737892
Bessay-sur-Allier;696336;18404;13665;9102;13912
Béthune;342006;1722027;1371461;1220199;1977028
Bigny;576306;123;112;79;358
Bitche;193821;30852;22009;15583;26270
Bitschwiller-lès-Thann;182576;34337;30522;29187;36084
Blaisy-Bas;713073;48459;36394;36567;36585
Blangy-sur-Bresle;313809;34907;31720;29382;21218
Boën-sur-Lignon;726471;27226;20030;16541;25451
Bogny-sur-Meuse;172049;79860;73125;66622;65702
Boisleux-au-Mont;342071;2055;1346;879;1937
Bonneval;545731;66356;41599;28093;42944
Bonneville;746339;383956;309320;244939;306078
Bonnières-sur-Seine;415893;771930;619227;278424;636589
Bonson;726414;58831;40429;36464;66667
Bords;491019;14598;9594;5494;8135
Bouaye;481200;56168;35343;24669;33921
Boulogne-sur-Mer;317586;1190862;926402;710039;1038059
Bourg-Madame;784876;5356;2974;2767;4528
Bourgneuf-en-Retz;481242;22569;16403;11428;18222
Boussy-Saint-Antoine;682138;2880374;2906672;1921990;3487143
Bouy;174433;0;0;38;778
Brazey-en-Plaine;713644;45283;28186;28595;36997
Breitenbach;182659;28767;29562;28763;30219
Breteuil;313247;43095;35539;30912;41007
Bretoncelles;394270;26432;25848;21239;22932
Briare;696088;61949;43963;30194;47148
Brion - Laizy;694596;8257;6440;6147;4426
Brion - Montréal-la-Cluse;131961;46414;34660;25344;35922
Brioude;734269;110941;79521;61464;95704
Briouze;448084;54629;31297;24431;37420
Brive-la-Gaillarde;594002;1287703;971200;672706;1012543
Broons;473074;59562;39722;28626;36462
Brou;394452;115264;83512;64559;80996
Brumath;212134;598702;486002;423151;619310
Brunstatt;181032;0;0;0;0
Bueil;387092;137079;104512;82538;134779
Busigny;296244;66529;56192;44422;56535
Caen;444000;4538905;3051389;2369188;3837395
Callac;473546;40638;36048;29476;27278
Carcassonne;615286;1378702;1079431;743923;1020139
Carhaix-Plouguer;473504;59351;43661;29538;34270
Castelnaudary;615039;434734;348633;259728;352252
Ceilhes - Roqueredonde;781542;1256;839;674;359
Cercottes;543033;70521;50076;36970;42501
Cérons;582742;478322;351003;271582;381636
Châbons;747212;78294;62965;44628;53351
Chagny;713578;524026;401460;368806;407081
Chaingy Fourneaux Plage;574111;21115;12387;8992;14271
Chalonnes-sur-Loire;484204;200557;147164;122974;220250
Chalon-sur-Saône;725002;1998226;1481873;1300348;1636309
Chamalières-sur-Loire;734731;3125;2273;969;1866
Champagney;185348;69916;52818;52119;52227
Champagnole Paul-Émile Victor;352047;2499;2650;1507;2545
Champigneulles;141085;24859;17742;12645;14994
Chanac;783530;196;141;64;222
Changis - Saint-Jean;116509;250409;209345;116332;302651
Chantilly - Gouvieux;276113;2889211;2338799;1882284;2977509
Chaponost;722710;99688;89155;74261;91801
Charbonnières-les-Bains;721530;315794;265726;227926;315943
Chasseradès;775148;1798;1181;849;968
Chasse-sur-Rhône;722561;247136;179937;141759;203390
Châteauneuf - Bujaleuf;592105;3841;2987;2428;3889
Châtillon d'Azergues;721753;20177;15992;13629;19714
Chépy - Valines;317495;207;235;235;2897
Chevrières;276311;28028;23974;20332;28748
Chindrieux;741116;46107;19144;16002;23568
Chissay-en-Touraine;574848;9811;5188;2361;5992
Choisy-le-Roi;545285;10936239;8997300;6390626;13240339
Cintegabelle;611376;115493;92186;72035;102217
Cires-lès-Mello;313551;112440;90708;69824;96422
